Time,Tip_X,Tip_Y,Tip_Z,J1_Angle,J2_Angle,J3_Angle
27.61,-0.0487,0.1369,1.1314,1.42,0.89,-2.38
27.7,-0.045,0.1446,1.1341,2.2,0.97,-2.48
27.81,-0.0412,0.1522,1.1353,3.03,1.07,-2.7
27.9,-0.0382,0.1587,1.135,3.81,1.18,-3.0
27.91,0.0,0.15,1.2,0.0,0.0,0.0
28.0,-0.0361,0.1639,1.1336,4.56,1.31,-3.37
28.01,0.0,0.15,1.2,0.0,0.0,0.0
28.1,0.0,0.15,1.2,0.0,0.0,0.0
28.11,0.0,0.15,1.2,-0.4,-0.08,0.17
28.2,0.0,0.15,1.2,0.0,0.0,0.0
28.21,0.0,0.15,1.2,-0.39,-0.08,0.17
28.3,-0.0351,0.175,1.1245,7.41,1.89,-5.12
28.31,0.1242,0.4245,-0.0219,841.01,-5267.16,8826.51
28.41,0.0,0.15,1.2,-0.38,-0.07,0.15
28.5,0.0,0.15,1.2,0.0,0.0,0.0
28.51,0.0,0.15,1.2,-0.37,-0.07,0.15
28.6,-0.0356,-0.4783,0.0149,498.95,-419.02,-4012.81
28.7,-0.0475,0.1742,1.1139,12.08,2.96,-7.87
28.71,0.4964,-0.1446,-0.0394,-1294.94,-227.61,-6502.45
28.81,0.0,0.15,1.2,-0.35,-0.07,0.12
28.9,0.0,0.15,1.2,0.0,0.0,0.0
29.0,0.0,0.15,1.2,-0.34,-0.06,0.11
29.01,-0.0625,0.1645,1.1137,16.54,3.93,-9.89
29.1,0.0,0.15,1.2,-0.33,-0.06,0.1
29.2,0.0,0.15,1.2,-0.32,-0.06,0.1
29.21,-0.0719,0.1553,1.1181,19.76,4.59,-11.11
29.3,-0.0758,0.1504,1.1213,21.32,4.91,-11.65
29.41,0.0,0.15,1.2,0.0,0.0,0.0
29.5,0.0,0.15,1.2,0.0,0.0,0.0
29.51,0.0,0.15,1.2,-0.3,-0.05,0.08
29.6,0.0,0.15,1.2,-0.29,-0.05,0.07
29.61,-0.0846,0.1341,1.1351,26.32,5.88,-13.26
29.7,-0.0861,0.129,1.14,27.83,6.16,-13.73
29.71,0.0,0.15,1.2,0.0,0.0,0.0
29.8,0.0,0.15,1.2,-0.28,-0.05,0.06
29.81,-0.0869,0.1233,1.1459,29.51,6.48,-14.25
29.9,-0.087,0.1183,1.1512,30.97,6.75,-14.71
29.91,0.0,0.15,1.2,0.0,0.0,0.0
30.0,0.0,0.15,1.2,0.0,0.0,0.0
30.11,-0.0852,0.1084,1.1623,33.86,7.28,-15.61
30.2,0.0,0.15,1.2,0.0,0.0,0.0
30.21,0.0,0.15,1.2,-0.24,-0.04,0.03
30.3,0.0,0.15,1.2,-0.24,-0.04,0.02
30.31,-0.0811,0.0995,1.1726,36.38,7.74,-16.4
30.4,0.0,0.15,1.2,-0.23,-0.04,0.02
